step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
19,PAYMENT,2344.21,C380765420,113862.0,111517.79,M1893361090,0.0,0.0,0,0
161,CASH_IN,186893.32,C1468596629,3299536.42,3486429.74,C948579922,499989.1,313095.79,0,0
132,CASH_IN,148700.43,C667920721,4565635.79,4714336.22,C1708552,172437.08,23736.65,0,0
253,PAYMENT,1726.1,C1326821609,0.0,0.0,M1617944486,0.0,0.0,0,0
159,PAYMENT,40820.28,C662274173,0.0,0.0,M1647456973,0.0,0.0,0,0
210,PAYMENT,2416.49,C89733992,0.0,0.0,M588050103,0.0,0.0,0,0
17,PAYMENT,11074.11,C1023693505,105.0,0.0,M319877804,0.0,0.0,0,0
184,PAYMENT,22306.93,C946548654,0.0,0.0,M1026583694,0.0,0.0,0,0
347,CASH_IN,18869.87,C633485659,20383.0,39252.87,C501299918,0.0,0.0,0,0
205,PAYMENT,18876.24,C963226567,103537.47,84661.23,M409294954,0.0,0.0,0,0
328,DEBIT,4593.36,C1011349784,11283.0,6689.64,C1938188976,119900.43,124493.79,0,0
225,CASH_IN,66666.6,C1582561882,3093.0,69759.6,C746429285,3130.65,0.0,0,0
164,CASH_IN,208569.69,C502090174,20041.0,228610.69,C1959434770,0.0,0.0,0,0
160,PAYMENT,12117.98,C1897758651,0.0,0.0,M589213199,0.0,0.0,0,0
226,CASH_OUT,131944.12,C1139009479,0.0,0.0,C378343373,341854.15,473798.27,0,0
322,PAYMENT,57352.95,C1843353485,0.0,0.0,M701078092,0.0,0.0,0,0
328,PAYMENT,27101.41,C2014392372,100446.23,73344.82,M1860633011,0.0,0.0,0,0
188,CASH_OUT,180111.78,C1109177514,0.0,0.0,C1052023848,182901.64,363013.42,0,0
39,TRANSFER,820671.29,C2016428097,55340.0,0.0,C532669906,137239.12,957910.42,0,0
190,CASH_OUT,97066.71,C347909741,3145.0,0.0,C1698577928,0.0,97066.71,0,0
13,CASH_IN,169381.03,C1485121697,226552.69,395933.72,C2105496500,0.0,0.0,0,0
329,CASH_OUT,391208.21,C1726032620,0.0,0.0,C511185725,826114.32,1217322.54,0,0
346,PAYMENT,13585.7,C1902195052,77929.26,64343.56,M2117771434,0.0,0.0,0,0
159,CASH_OUT,257729.49,C1663947046,49787.0,0.0,C1710517279,5913.44,263642.93,0,0
211,PAYMENT,13075.14,C8859271,0.0,0.0,M1372984296,0.0,0.0,0,0
155,CASH_IN,430463.66,C2098658315,1502849.19,1933312.85,C1608685999,1946642.71,1516179.05,0,0
181,CASH_IN,208218.98,C1609628947,917786.27,1126005.25,C80561466,2416480.54,2208261.57,0,0
227,CASH_OUT,127395.35,C44428287,0.0,0.0,C2126914024,6406138.68,6533534.04,0,0
206,CASH_IN,30816.81,C576935596,51346.81,82163.62,C1929400635,892557.0,861740.19,0,0
255,TRANSFER,890074.5,C1164780042,7452.0,0.0,C835604639,161952.21,1348026.2,0,0
140,CASH_IN,114002.85,C2140792270,12052801.38,12166804.23,C402692670,207508.78,93505.93,0,0
138,PAYMENT,23128.97,C1002265891,29893.0,6764.03,M887205995,0.0,0.0,0,0
354,CASH_IN,38653.55,C1486507680,704871.02,743524.58,C1503337596,941237.77,902584.21,0,0
206,PAYMENT,638.0,C3472668,23060.0,22422.0,M105721216,0.0,0.0,0,0
188,PAYMENT,11106.05,C1017690802,0.0,0.0,M1542040974,0.0,0.0,0,0
352,PAYMENT,26763.45,C1013505900,0.0,0.0,M338811411,0.0,0.0,0,0
229,CASH_OUT,319796.54,C909344078,27867.0,0.0,C1401576176,10870.0,184512.63,0,0
14,CASH_OUT,9218.88,C138413608,747.29,0.0,C1898673154,28789.0,0.0,0,0
39,PAYMENT,23582.14,C1082133695,0.0,0.0,M217693355,0.0,0.0,0,0
231,PAYMENT,9014.4,C107128551,10296.0,1281.6,M295548038,0.0,0.0,0,0
260,PAYMENT,1550.31,C1473206064,1122.0,0.0,M1903489969,0.0,0.0,0,0
160,PAYMENT,19195.12,C1717674547,0.0,0.0,M86276350,0.0,0.0,0,0
35,PAYMENT,31636.91,C8839815,11140.28,0.0,M827020461,0.0,0.0,0,0
164,CASH_IN,191495.37,C182776434,16201.0,207696.37,C1464074058,125161.63,0.0,0,0
278,CASH_IN,118426.42,C1015841396,234.0,118660.42,C1942437066,88519.61,0.0,0,0
18,PAYMENT,7104.72,C1580869942,2216.99,0.0,M517694727,0.0,0.0,0,0
302,CASH_OUT,531764.33,C2086042685,0.0,0.0,C836003157,1140706.81,1672471.14,0,0
310,TRANSFER,2293961.47,C429873,0.0,0.0,C1023379481,5261159.99,7555121.47,0,0
304,CASH_OUT,76761.44,C278075207,0.0,0.0,C1205177678,168705.1,245466.54,0,0
11,CASH_OUT,93129.62,C1894017795,0.0,0.0,C549221039,561221.6,654351.22,0,0
159,CASH_OUT,95279.76,C1672655619,0.0,0.0,C1427068633,2855244.93,2761628.27,0,0
324,CASH_OUT,49396.74,C489075710,0.0,0.0,C1872584691,1596270.74,1645667.47,0,0
41,CASH_IN,172539.19,C1955004695,298799.0,471338.19,C1069069539,767641.51,595102.32,0,0
164,PAYMENT,21511.82,C534013341,220.0,0.0,M1968888178,0.0,0.0,0,0
307,PAYMENT,3847.86,C1385618614,21251.0,17403.14,M1741334242,0.0,0.0,0,0
239,PAYMENT,1160.21,C282129252,8773.0,7612.79,M558418685,0.0,0.0,0,0
227,CASH_OUT,74313.29,C902915359,0.0,0.0,C905062857,491269.96,565583.24,0,0
205,CASH_OUT,324346.83,C787610159,14.0,0.0,C958275791,187445.47,511792.3,0,0
205,TRANSFER,504193.85,C1981562675,6849.0,0.0,C1917185254,265306.45,769500.3,0,0
16,PAYMENT,148.15,C49833926,25459.0,25310.85,M943854067,0.0,0.0,0,0
233,CASH_OUT,249935.63,C1259578092,123445.0,0.0,C71337388,5728093.88,5978029.51,0,0
143,PAYMENT,3204.58,C1489859669,10297.0,7092.42,M517434199,0.0,0.0,0,0
38,CASH_OUT,131760.84,C1787829515,0.0,0.0,C1191349112,229484.14,361244.98,0,0
300,CASH_OUT,94469.34,C2032800792,534886.18,440416.84,C526717279,588184.66,682654.01,0,0
203,PAYMENT,8921.09,C1770214250,0.0,0.0,M406417071,0.0,0.0,0,0
20,PAYMENT,1211.84,C1551647135,20152.0,18940.16,M1643574011,0.0,0.0,0,0
186,CASH_OUT,56587.25,C822549460,0.0,0.0,C1950911814,825280.08,881867.33,0,0
284,PAYMENT,5732.22,C1928725669,0.0,0.0,M890986537,0.0,0.0,0,0
210,CASH_IN,50737.49,C1684479687,1852225.1,1902962.6,C1199606198,6427141.44,6376403.95,0,0
252,CASH_IN,414954.1,C1662640497,4446997.7,4861951.79,C634502879,673213.51,258259.41,0,0
210,CASH_IN,23627.75,C984878221,12221736.07,12245363.82,C1114881449,4689288.93,4665661.19,0,0
14,CASH_OUT,511927.45,C1724921049,39202.0,0.0,C1276218840,0.0,511927.45,0,0
347,CASH_OUT,186816.97,C866433740,0.0,0.0,C312347398,765305.4,952122.37,0,0
34,PAYMENT,1828.73,C765935857,351341.14,349512.41,M815087456,0.0,0.0,0,0
306,CASH_OUT,126140.15,C9559623,0.0,0.0,C1532473193,1572138.19,1698278.33,0,0
6,PAYMENT,6524.09,C663535450,0.0,0.0,M474059546,0.0,0.0,0,0
183,TRANSFER,206045.13,C1483691391,11671.0,0.0,C47518883,0.0,206045.13,0,0
236,TRANSFER,1876852.3,C627234976,0.0,0.0,C1816401635,3372663.33,5249515.63,0,0
321,CASH_IN,128542.33,C1659058464,321777.0,450319.33,C652215948,403000.36,274458.04,0,0
281,CASH_IN,33766.63,C1559559934,172037.67,205804.3,C291192594,4633487.72,4599721.1,0,0
139,CASH_OUT,123732.91,C1835564842,0.0,0.0,C370997658,2040441.58,2164174.49,0,0
274,CASH_IN,68436.72,C1604929190,695299.97,763736.69,C1825557918,154846.7,86409.98,0,0
141,CASH_IN,265094.81,C397518569,940642.89,1205737.7,C558216562,2555863.55,2290768.74,0,0
306,TRANSFER,858908.38,C1180465322,0.0,0.0,C1402209034,1791163.0,2650071.39,0,0
203,CASH_IN,400551.15,C793884620,243002.0,643553.15,C1925217989,0.0,0.0,0,0
191,CASH_OUT,117876.25,C60503063,0.0,0.0,C1228231798,2435841.1,2553717.35,0,0
139,CASH_IN,2555.87,C1196968273,9733566.23,9736122.1,C1732721908,152644.83,150088.96,0,0
274,CASH_OUT,114416.7,C601829011,235831.0,121414.3,C429182984,97509.08,211925.78,0,0
156,CASH_OUT,643440.65,C1171395018,106022.0,0.0,C692920945,575912.98,1219353.64,0,0
297,PAYMENT,6494.16,C493767471,134715.0,128220.84,M816987379,0.0,0.0,0,0
19,CASH_OUT,265506.97,C1282593987,0.0,0.0,C1461100901,276344.01,922247.23,0,0
139,CASH_IN,90149.34,C1156546814,6032195.13,6122344.46,C1931657262,380978.06,277506.98,0,0
352,CASH_IN,259980.29,C858206705,2427880.1,2687860.39,C496348798,4780060.17,4520079.88,0,0
139,CASH_OUT,227200.42,C1179812789,0.0,0.0,C658704036,505895.01,733095.44,0,0
203,CASH_OUT,146061.5,C1075454,29915.0,0.0,C1887516273,0.0,146061.5,0,0
214,TRANSFER,316123.25,C528496422,119.0,0.0,C265628961,2601133.69,2917256.94,0,0
183,CASH_IN,351733.91,C1366159467,248.0,351981.91,C74048298,1247775.8,1159034.76,0,0
139,PAYMENT,8264.22,C1226255793,78959.0,70694.78,M1780674278,0.0,0.0,0,0
348,CASH_OUT,225864.04,C265013357,0.0,0.0,C878304373,271320.36,497184.39,0,0
19,CASH_OUT,296512.98,C752553964,13746.0,0.0,C1487800731,172751.77,10550.61,0,0
163,CASH_IN,42549.33,C1238527510,2591791.08,2634340.41,C28924122,1765255.11,2012150.55,0,0
228,CASH_OUT,106351.56,C215475058,24256.0,0.0,C1559557334,0.0,106351.56,0,0
278,CASH_OUT,92676.03,C1891510693,1491.0,0.0,C1299029,0.0,92676.03,0,0
136,CASH_IN,171766.89,C1011023345,16610.33,188377.21,C1449947165,265396.96,93630.07,0,0
309,PAYMENT,31212.77,C9546062,0.0,0.0,M293433588,0.0,0.0,0,0
328,PAYMENT,9870.23,C1752536021,0.0,0.0,M93978873,0.0,0.0,0,0
194,PAYMENT,5642.66,C226612411,1070.0,0.0,M1774279644,0.0,0.0,0,0
298,PAYMENT,9748.5,C1913000826,403780.0,394031.5,M1565266719,0.0,0.0,0,0
308,CASH_IN,143478.32,C1418784372,129215.0,272693.32,C1345141723,993282.68,849804.36,0,0
38,PAYMENT,5718.29,C1822425148,0.0,0.0,M741725080,0.0,0.0,0,0
119,PAYMENT,741.76,C1161797721,51472.0,50730.24,M1937439074,0.0,0.0,0,0
355,CASH_IN,15097.03,C1460785067,7053657.55,7068754.59,C1949047779,1176684.79,1161587.75,0,0
331,CASH_OUT,335831.72,C1342402767,0.0,0.0,C1587098976,1990500.56,2326332.27,0,0
18,CASH_OUT,124490.85,C1635868458,0.0,0.0,C1860513229,2523373.55,3135927.4,0,0
202,CASH_OUT,11698.92,C877838962,0.0,0.0,C400401040,204088.22,215787.14,0,0
301,PAYMENT,9322.81,C1407731961,2329.0,0.0,M1673139089,0.0,0.0,0,0
252,PAYMENT,1552.11,C955337257,205818.81,204266.7,M708122723,0.0,0.0,0,0
186,CASH_IN,14730.28,C872357435,6356644.76,6371375.04,C554700699,371353.12,356622.84,0,0
130,CASH_OUT,149788.26,C580763675,0.0,0.0,C227812606,276277.86,426066.13,0,0
249,PAYMENT,25461.18,C755046444,121269.0,95807.82,M2070908355,0.0,0.0,0,0
180,PAYMENT,18735.72,C274450693,189.0,0.0,M1590534373,0.0,0.0,0,0
345,CASH_OUT,302711.68,C1288019843,5017.0,0.0,C321005713,54321.87,357033.56,0,0
164,TRANSFER,68849.36,C2018054151,0.0,0.0,C1802096537,2545905.22,2614754.58,0,0
130,TRANSFER,5429423.18,C2121745058,52915.0,0.0,C634192276,2609.55,5432032.73,0,0
161,CASH_OUT,447160.48,C159469761,215496.86,0.0,C359184572,582028.2,1029188.68,0,0
350,TRANSFER,719158.39,C1063289379,544227.75,0.0,C1818424002,1986147.1,2705305.48,0,0
205,CASH_IN,19751.33,C565311528,6434044.39,6453795.72,C511142868,3965009.47,3945258.14,0,0
284,PAYMENT,1986.62,C240419334,15513.0,13526.38,M378976849,0.0,0.0,0,0
217,TRANSFER,151658.33,C177564436,0.0,0.0,C226489371,1747629.18,1899287.5,0,0
228,PAYMENT,6790.58,C1126393057,0.0,0.0,M917032539,0.0,0.0,0,0
36,CASH_OUT,201570.62,C593009245,0.0,0.0,C1781787936,245704.3,447274.92,0,0
322,CASH_OUT,22318.12,C1801280409,406366.0,384047.88,C922797300,131801.34,154119.46,0,0
308,CASH_OUT,210898.6,C1190396342,0.0,0.0,C2014580680,512613.67,723512.27,0,0
259,CASH_OUT,226850.21,C1402583244,0.0,0.0,C269481855,968676.87,1195527.08,0,0
202,CASH_OUT,150506.88,C271337325,27401.0,0.0,C678163835,77142.77,227649.65,0,0
311,PAYMENT,1724.78,C134419566,34296.0,32571.22,M349213346,0.0,0.0,0,0
355,CASH_IN,272622.33,C482827146,2940237.58,3212859.91,C1327415850,4845429.96,4572807.63,0,0
230,CASH_IN,216569.31,C747149961,10172.0,226741.31,C1851421999,4749703.41,4533134.1,0,0
282,CASH_IN,74467.86,C55177195,7252393.17,7326861.02,C1512186385,158519.03,84051.17,0,0
157,DEBIT,9042.83,C1195199947,61812.0,52769.17,C1680575434,752611.54,1206586.44,0,0
330,CASH_OUT,94854.03,C445349678,240655.0,145800.97,C1939218208,0.0,94854.03,0,0
157,TRANSFER,574360.1,C595721760,0.0,0.0,C1197482041,8160252.0,8734612.1,0,0
129,PAYMENT,935.41,C791713992,15633.4,14697.99,M1109546362,0.0,0.0,0,0
331,PAYMENT,4961.81,C1823752174,0.0,0.0,M872380116,0.0,0.0,0,0
305,CASH_IN,83729.46,C1589152398,873519.13,957248.59,C76424337,146092.35,62362.88,0,0
256,CASH_OUT,147280.91,C1215582204,29862.0,0.0,C913604124,0.0,147280.91,0,0
204,CASH_OUT,59102.51,C1981002718,6067.0,0.0,C1510984580,287781.1,346883.61,0,0
263,CASH_IN,185971.9,C1007512896,3499947.26,3685919.16,C649513795,794954.57,608982.67,0,0
186,CASH_OUT,305023.1,C1524090088,0.0,0.0,C1532210859,962757.66,1267780.76,0,0
139,CASH_OUT,39816.88,C77710493,0.0,0.0,C1799220112,396667.32,436484.2,0,0
20,CASH_IN,109549.79,C1140882893,127141.0,236690.79,C1079150572,3625474.11,3515924.31,0,0
332,PAYMENT,1769.7,C2080065317,27674.0,25904.3,M1156707564,0.0,0.0,0,0
43,PAYMENT,8194.01,C1561842748,0.0,0.0,M1941042026,0.0,0.0,0,0
300,CASH_OUT,262363.0,C351418499,99596.0,0.0,C1274536836,5705.59,268068.59,0,0
284,CASH_OUT,25478.84,C1960151548,107576.0,82097.16,C1304891965,529055.74,554534.58,0,0
139,CASH_OUT,74832.82,C1669722866,451652.0,376819.18,C346325956,5260939.21,5335772.02,0,0
325,CASH_OUT,41100.94,C1181863478,0.0,0.0,C1661295303,122560.32,163661.26,0,0
347,CASH_OUT,625754.11,C93789493,49960.0,0.0,C1513772020,47330.47,673084.58,0,0
284,PAYMENT,12842.0,C1221941608,6292.0,0.0,M1926708383,0.0,0.0,0,0
43,CASH_IN,163469.07,C125730351,9027695.74,9191164.81,C138761124,3994523.02,3831053.95,0,0
249,CASH_IN,15084.9,C134843125,8897770.56,8912855.47,C909099801,182254.66,167169.76,0,0
191,CASH_OUT,186964.56,C1582872464,0.0,0.0,C1942689293,2116097.6,2303062.16,0,0
229,DEBIT,4633.21,C1245041728,186.0,0.0,C831080229,2845179.47,2849812.68,0,0
326,CASH_OUT,65204.05,C1917811695,1154.0,0.0,C602096193,427454.23,492658.28,0,0
284,CASH_IN,123035.63,C1883005168,21217707.19,21340742.81,C1904442230,8634796.16,8511760.54,0,0
281,CASH_IN,5109.58,C143112662,2104496.02,2109605.6,C1223855186,167305.82,162196.24,0,0
227,PAYMENT,15065.19,C276001496,0.0,0.0,M2023778445,0.0,0.0,0,0
183,CASH_OUT,187150.26,C930361624,600.0,0.0,C399807153,6657567.75,6844718.01,0,0
163,PAYMENT,3506.6,C1844268190,0.0,0.0,M1058632190,0.0,0.0,0,0
332,PAYMENT,851.16,C1613723734,0.0,0.0,M785811794,0.0,0.0,0,0
163,TRANSFER,1350248.89,C542717737,0.0,0.0,C888387192,3207464.72,4557713.61,0,0
18,PAYMENT,9434.6,C1892117757,51731.0,42296.4,M1150076896,0.0,0.0,0,0
205,CASH_OUT,99879.55,C1184861844,20703.0,0.0,C17510435,11786809.84,11886689.38,0,0
41,PAYMENT,10247.33,C1289780229,1286.0,0.0,M641558826,0.0,0.0,0,0
143,PAYMENT,9470.85,C2134782642,10434.0,963.15,M1479065540,0.0,0.0,0,0
140,CASH_OUT,407828.1,C1622964237,20963.0,0.0,C1055214187,0.0,407828.1,0,0
136,CASH_OUT,30321.94,C2138264018,0.0,0.0,C1175619677,847966.02,996441.33,0,0
347,CASH_OUT,148926.73,C2037452772,306328.17,157401.44,C494662531,1248048.38,1396975.11,0,0
16,CASH_IN,304109.44,C666474243,104026.0,408135.44,C1392064586,631708.74,152785.84,0,0
156,CASH_OUT,144059.26,C2018544453,0.0,0.0,C1095366897,430372.46,574431.72,0,0
11,CASH_IN,400360.52,C55496387,58813.0,459173.52,C690171248,0.0,0.0,0,0
191,CASH_IN,281385.01,C1916576155,6124091.84,6405476.86,C989246028,1299390.17,1018005.15,0,0
15,CASH_OUT,151327.97,C1643736926,75685.4,0.0,C1003872245,2674095.7,3089823.29,0,0
300,TRANSFER,5257379.46,C1939932601,0.0,0.0,C1526540934,11574612.85,16831992.31,0,0
350,CASH_OUT,96411.8,C763614258,0.0,0.0,C135521069,767504.33,863916.13,0,0
135,CASH_OUT,301903.92,C678306782,16016.0,0.0,C101530899,46978.54,269702.37,0,0
201,PAYMENT,11172.89,C1375056033,0.0,0.0,M925816675,0.0,0.0,0,0
260,PAYMENT,893.9,C1438127887,0.0,0.0,M721040039,0.0,0.0,0,0
302,CASH_OUT,82878.46,C1128740582,80915.0,0.0,C887122464,5903911.81,5986790.26,0,0
211,CASH_IN,37398.24,C1326229959,1034.0,38432.24,C2031058598,517086.83,479688.58,0,0
228,CASH_OUT,533398.22,C1686734978,31119.0,0.0,C1059030122,48123.95,827252.29,0,0
264,TRANSFER,2045572.68,C640280997,0.0,0.0,C1658113381,4146285.41,6191858.09,0,0
203,PAYMENT,15204.53,C1024454138,0.0,0.0,M1621222183,0.0,0.0,0,0
14,PAYMENT,23683.36,C576783995,112633.17,88949.81,M1977319857,0.0,0.0,0,0
309,PAYMENT,11476.93,C933541475,0.0,0.0,M9915198,0.0,0.0,0,0
202,CASH_OUT,77352.55,C389561641,41381.0,0.0,C954391112,158029.03,235381.58,0,0
139,CASH_OUT,207459.66,C824609835,14463.0,0.0,C1020927932,0.0,207459.66,0,0
351,PAYMENT,10017.83,C1855483356,137266.28,127248.45,M998419998,0.0,0.0,0,0
140,TRANSFER,74163.83,C246313233,0.0,0.0,C1560607671,5354192.33,5428356.16,0,0
308,CASH_IN,271778.49,C274656010,6051.0,277829.49,C1207591469,1813908.33,1542129.84,0,0
354,PAYMENT,5616.79,C273258201,296594.03,290977.24,M776130390,0.0,0.0,0,0
349,CASH_IN,272463.67,C404858313,29747.0,302210.67,C1863971692,0.0,0.0,0,0
350,CASH_OUT,834.91,C1391761362,16154.0,15319.09,C462873593,1988928.89,1989763.8,0,0
139,TRANSFER,232981.32,C225840881,0.0,0.0,C1700817310,9127080.68,9360062.0,0,0
190,PAYMENT,10689.66,C291673112,0.0,0.0,M769209138,0.0,0.0,0,0
286,CASH_IN,67890.08,C885627371,8891041.96,8958932.04,C300461939,860864.36,792974.28,0,0
161,PAYMENT,21986.59,C1931577342,0.0,0.0,M1881565370,0.0,0.0,0,0
204,PAYMENT,26135.41,C25290329,0.0,0.0,M1995006417,0.0,0.0,0,0
259,CASH_IN,200962.88,C1062949797,19977.0,220939.88,C562033251,2244656.77,2043693.89,0,0
13,PAYMENT,3638.84,C855718798,91972.93,88334.08,M1927090776,0.0,0.0,0,0
323,PAYMENT,17751.23,C624165977,0.0,0.0,M83472875,0.0,0.0,0,0
19,CASH_OUT,82694.09,C1303557683,15223.0,0.0,C433661030,795831.72,1281964.49,0,0
16,CASH_OUT,105146.67,C206941786,22301.0,0.0,C1741587286,1315815.87,1420962.55,0,0
43,PAYMENT,4516.03,C1869728557,126045.26,121529.24,M1981754143,0.0,0.0,0,0
19,CASH_OUT,59944.37,C1165628970,65499.38,5555.01,C2030334968,974422.81,1034367.18,0,0
12,PAYMENT,2065.99,C2137415147,282703.11,280637.11,M1784993554,0.0,0.0,0,0
328,PAYMENT,10020.7,C515545255,0.0,0.0,M414921549,0.0,0.0,0,0
17,TRANSFER,54820.6,C1785143400,186158.13,131337.53,C666843460,452983.39,371849.26,0,0
135,CASH_OUT,109443.7,C2144256030,0.0,0.0,C479164896,1533701.18,1643144.88,0,0
325,TRANSFER,246503.08,C1387405653,143781.0,0.0,C1428743724,0.0,246503.08,0,0
205,PAYMENT,19355.94,C615511705,291758.77,272402.83,M1942833400,0.0,0.0,0,0
17,PAYMENT,11626.88,C177162832,0.0,0.0,M476808705,0.0,0.0,0,0
139,PAYMENT,3766.68,C1611082075,0.0,0.0,M1818886041,0.0,0.0,0,0
184,PAYMENT,7032.0,C1856426271,0.0,0.0,M935210978,0.0,0.0,0,0
325,CASH_IN,60816.88,C910294364,4647286.54,4708103.42,C1225152713,6683371.44,6622554.55,0,0
232,CASH_OUT,368820.87,C853216197,0.0,0.0,C1234776885,18379214.29,18748035.15,0,0
158,CASH_OUT,17981.51,C1673334032,337.0,0.0,C1372820852,29770.0,47751.51,0,0
345,PAYMENT,9943.89,C1986566159,0.0,0.0,M1707836312,0.0,0.0,0,0
35,CASH_OUT,335281.44,C249629855,0.0,0.0,C713487056,490236.93,825518.37,0,0
299,PAYMENT,23771.01,C402490612,0.0,0.0,M168036414,0.0,0.0,0,0
230,PAYMENT,81222.2,C345262779,0.0,0.0,M190447770,0.0,0.0,0,0
203,CASH_OUT,212094.84,C2009653766,11103.0,0.0,C236776836,371941.69,584036.53,0,0
327,PAYMENT,25220.65,C902842642,10178.0,0.0,M174625448,0.0,0.0,0,0
284,TRANSFER,252701.34,C620152071,0.0,0.0,C1123069880,407653.77,660355.11,0,0
257,CASH_OUT,96806.56,C1077612182,28889.0,0.0,C25852048,0.0,96806.56,0,0
19,CASH_IN,61663.87,C1341296218,354637.0,416300.87,C579332360,755244.96,693581.09,0,0
38,CASH_OUT,172611.24,C1771154486,29652.0,0.0,C1112821604,178129.44,350740.69,0,0
309,CASH_IN,71950.23,C1708688405,21292.0,93242.23,C1159446737,0.0,0.0,0,0
326,CASH_IN,44190.78,C780587811,85011.0,129201.78,C176060639,0.0,0.0,0,0
155,CASH_OUT,439316.82,C1491329284,15780.79,0.0,C1242379975,7164822.25,7604139.07,0,0
323,CASH_IN,453774.79,C778301460,4701837.08,5155611.87,C1638238924,1370303.8,916529.01,0,0
354,PAYMENT,9727.64,C616645871,0.0,0.0,M80162480,0.0,0.0,0,0
327,CASH_IN,136358.68,C2016082090,1698238.28,1834596.96,C603891992,214319.74,77961.06,0,0
300,CASH_OUT,19532.57,C706758523,9108.0,0.0,C39643735,253118.37,272650.94,0,0
277,CASH_IN,94097.56,C856103196,743.0,94840.56,C1408239500,183905.52,89807.96,0,0
254,PAYMENT,11045.31,C417017472,24450.0,13404.69,M2024340289,0.0,0.0,0,0
188,PAYMENT,4665.83,C1827661592,1022.0,0.0,M906393454,0.0,0.0,0,0
230,PAYMENT,11749.02,C475292585,0.0,0.0,M323465945,0.0,0.0,0,0
