amount,oldbalanceOrg,tx_count_24h,avg_amount_24h,isFraud
140313.59,8208498.82,0,140313.59,0
46072.33,46072.33,0,46072.33,1
47589.0,4432017.65,0,47589.0,0
124215.45,184901.0,0,124215.45,0
71439.81,71439.81,0,71439.81,1
2369.2,0.0,0,2369.2,0
262960.23,262960.23,0,262960.23,1
33379.64,25238668.07,0,33379.64,0
781.93,781.93,0,781.93,1
319883.28,319883.28,0,319883.28,1
478135.02,6908.0,0,478135.02,0
2251225.38,2251225.38,0,2251225.38,1
10505.39,9208.0,0,10505.39,0
738.68,0.0,0,738.68,0
135809.26,160790.0,0,135809.26,0
1547877.98,1547877.98,0,1547877.98,1
103411.9,92965.0,0,103411.9,0
1005365.24,1005365.24,0,1005365.24,1
23255.74,0.0,0,23255.74,0
267564.83,267564.83,0,267564.83,1
159148.04,39848.0,0,159148.04,0
3302.7,0.0,0,3302.7,0
218243.15,10744.0,0,218243.15,0
52541.42,52541.42,0,52541.42,1
6589.02,133947.0,0,6589.02,0
7878.89,0.0,0,7878.89,0
866867.23,2095.0,0,866867.23,0
67128.33,67128.33,0,67128.33,1
14016.8,0.0,0,14016.8,0
8324.35,0.0,0,8324.35,0
43308.07,43308.07,0,43308.07,1
43451.28,6039.0,0,43451.28,0
112835.43,112835.43,0,112835.43,1
16516.11,26776.31,0,16516.11,0
325580.25,901064.88,0,325580.25,0
497928.97,497928.97,0,497928.97,1
6958.59,85298.0,0,6958.59,0
6646879.72,6646879.72,0,6646879.72,1
64088.1,50716.0,0,64088.1,0
276756.47,3053420.86,0,276756.47,0
14733.67,62168.43,0,14733.67,0
990.37,48854.0,0,990.37,0
16093.18,0.0,0,16093.18,0
174271.47,2030268.06,0,174271.47,0
21672.05,0.0,0,21672.05,0
477812.26,1288.0,0,477812.26,0
27204.4,0.0,0,27204.4,0
53696.14,21492.0,0,53696.14,0
410053.89,28226.29,0,410053.89,0
7620.39,4249413.77,0,7620.39,0
166891.51,166891.51,0,166891.51,1
25000.82,102015.0,0,25000.82,0
25161.86,2028.0,0,25161.86,0
14559.17,55865.81,0,14559.17,0
160088.68,160088.68,0,160088.68,1
139727.93,296738.42,0,139727.93,0
6347.39,5507.39,0,6347.39,0
261970.39,1565703.14,0,261970.39,0
611.63,311565.0,0,611.63,0
32003.96,0.0,0,32003.96,0
43254.15,0.0,0,43254.15,0
10276.5,2031.0,0,10276.5,0
161016.65,161016.65,0,161016.65,1
151339.25,809142.15,0,151339.25,0
199930.5,52881.0,0,199930.5,0
230728.73,395.0,0,230728.73,0
60455.32,1386602.21,0,60455.32,0
7618.19,31198.0,0,7618.19,0
84810.28,50253.0,0,84810.28,0
71117.36,0.0,0,71117.36,0
24438.74,406831.27,0,24438.74,0
9025.03,2547.0,0,9025.03,0
407320.01,407320.01,0,407320.01,1
701697.49,701697.49,0,701697.49,1
1424002.7,1424002.7,0,1424002.7,1
87396.51,0.0,0,87396.51,0
198918.5,52947.0,0,198918.5,0
193388.46,465608.02,0,193388.46,0
9585040.37,19585040.37,0,9585040.37,1
582222.83,22419.0,0,582222.83,0
9593838.63,9593838.63,0,9593838.63,1
69565.22,0.0,0,69565.22,0
3460.33,0.0,0,3460.33,0
312469.62,23286.0,0,312469.62,0
34971.62,0.0,0,34971.62,0
1755647.81,1755647.81,0,1755647.81,1
258355.42,258355.42,0,258355.42,1
7690.66,8268.0,0,7690.66,0
93710.56,11965368.02,0,93710.56,0
403237.29,11339.0,0,403237.29,0
2095699.93,2095699.93,0,2095699.93,1
38966.88,50882.0,0,38966.88,0
32361.57,195615.63,0,32361.57,0
4737833.35,4737833.35,0,4737833.35,1
174.92,174.92,0,174.92,1
135510.8,0.0,0,135510.8,0
9301213.46,9301213.46,0,9301213.46,1
81898.18,0.0,0,81898.18,0
133348.99,1779268.65,0,133348.99,0
398711.68,398711.68,0,398711.68,1
10000000.0,10000000.0,0,10000000.0,1
63959.94,0.0,0,63959.94,0
227994.78,227994.78,0,227994.78,1
1596.92,0.0,0,1596.92,0
45116.24,45116.24,0,45116.24,1
25397.71,0.0,0,25397.71,0
3480.27,0.0,0,3480.27,0
10510.54,24050.03,0,10510.54,0
11160.97,65182.54,0,11160.97,0
121142.75,121142.75,0,121142.75,1
43308.07,43308.07,0,43308.07,1
222589.64,21144.0,0,222589.64,0
100601.22,0.0,0,100601.22,0
17109.57,100460.0,0,17109.57,0
3118811.65,3118811.65,0,3118811.65,1
15147.76,0.0,0,15147.76,0
43996.54,43996.54,0,43996.54,1
692654.27,692654.27,0,692654.27,1
900.32,127832.0,0,900.32,0
633459.44,633459.44,0,633459.44,1
116636.06,116636.06,0,116636.06,1
133924.73,0.0,0,133924.73,0
16531.1,11483.0,0,16531.1,0
344288.88,55276.0,0,344288.88,0
11251.01,273652.0,0,11251.01,0
34238.2,34238.2,0,34238.2,1
19248.84,26297.49,0,19248.84,0
2453.68,335069.13,0,2453.68,0
54725.54,54725.54,0,54725.54,1
1381513.27,1381513.27,0,1381513.27,1
1322277.84,1322277.84,0,1322277.84,1
26413.59,10722.0,0,26413.59,0
3242183.64,3242183.64,0,3242183.64,1
29637.03,29637.03,0,29637.03,1
85313.09,30952.0,0,85313.09,0
245155.25,245155.25,0,245155.25,1
18767.06,107401.0,0,18767.06,0
16282.36,76300.0,0,16282.36,0
1454023.8,35933.0,0,1454023.8,0
19506.33,30135.36,0,19506.33,0
37239.89,7354.0,0,37239.89,0
147230.63,147230.63,0,147230.63,1
334692.72,15928.0,0,334692.72,0
365344.78,10841.0,0,365344.78,0
140807.76,140807.76,0,140807.76,1
5683.49,0.0,0,5683.49,0
16136.0,12798.02,0,16136.0,0
238463.92,298106.0,0,238463.92,0
161074.36,8680142.72,0,161074.36,0
243487.5,0.0,0,243487.5,0
162662.68,0.0,0,162662.68,0
7865.2,157715.61,0,7865.2,0
76548.48,76548.48,0,76548.48,1
6392800.85,6392800.85,0,6392800.85,1
101521.71,55361.0,0,101521.71,0
50722.16,50722.16,0,50722.16,1
12310.06,0.0,0,12310.06,0
494446.94,494446.94,0,494446.94,1
651800.5,46038.0,0,651800.5,0
25819.42,25819.42,0,25819.42,1
45012.03,3107629.81,0,45012.03,0
314523.66,0.0,0,314523.66,0
15760.46,43756.0,0,15760.46,0
9572.53,0.0,0,9572.53,0
3504553.88,11517.0,0,3504553.88,0
29586.34,0.0,0,29586.34,0
4073.37,12172.0,0,4073.37,0
174324.94,174324.94,0,174324.94,1
247924.55,30256.0,0,247924.55,0
269235.75,4406460.43,0,269235.75,0
156691.56,156691.56,0,156691.56,1
58737.53,58737.53,0,58737.53,1
825344.25,11248.0,0,825344.25,0
10165.16,66524.39,0,10165.16,0
16439.35,272434.46,0,16439.35,0
764646.4,764646.4,0,764646.4,1
440799.24,244549.0,0,440799.24,0
27431.97,0.0,0,27431.97,0
69704.51,0.0,0,69704.51,0
4850.93,826935.39,0,4850.93,0
39911.3,0.0,0,39911.3,0
495977.84,495977.84,0,495977.84,1
8553.59,238.0,0,8553.59,0
800.25,65641.24,0,800.25,0
191123.63,0.0,0,191123.63,0
7603.7,21231.0,0,7603.7,0
32672.96,19676677.57,0,32672.96,0
1764389.11,1764389.11,0,1764389.11,1
146176.33,50221.0,0,146176.33,0
56717.16,0.0,0,56717.16,0
139650.75,0.0,0,139650.75,0
115129.47,2123.0,0,115129.47,0
346795.44,346795.44,0,346795.44,1
298.99,508.0,0,298.99,0
79882.56,17911.33,0,79882.56,0
55405.34,86840.0,0,55405.34,0
1641792.79,1641792.79,0,1641792.79,1
107016.5,9960.93,0,107016.5,0
350062.38,420765.0,0,350062.38,0
10687.81,24354098.47,0,10687.81,0
5208.64,11937.0,0,5208.64,0
222517.07,222517.07,0,222517.07,1
311192.59,14914.0,0,311192.59,0
5464727.14,5464727.14,0,5464727.14,1
1172700.63,1172700.63,0,1172700.63,1
61846.05,61846.05,0,61846.05,1
22113.01,217177.0,0,22113.01,0
15731.2,0.0,0,15731.2,0
2985840.4,2985840.4,0,2985840.4,1
184450.96,0.0,0,184450.96,0
43507.89,19943.0,0,43507.89,0
8801.55,44042.0,0,8801.55,0
665.37,0.0,0,665.37,0
733119.42,733119.42,0,733119.42,1
1846748.79,1846748.79,0,1846748.79,1
2491495.99,0.0,0,2491495.99,0
48126.89,490.0,0,48126.89,0
387773.97,387773.97,0,387773.97,1
3968964.4,3968964.4,0,3968964.4,1
84080.48,101818.0,0,84080.48,0
364807.12,3000.0,0,364807.12,0
9468.66,164502.0,0,9468.66,0
533092.45,533092.45,0,533092.45,1
918290.23,0.0,0,918290.23,0
292815.44,292815.44,0,292815.44,1
182820.63,5626.0,0,182820.63,0
4776.96,0.0,0,4776.96,0
1430.42,0.0,0,1430.42,0
115784.51,4704484.94,0,115784.51,0
17706.39,101668.0,0,17706.39,0
49950.63,49950.63,0,49950.63,1
150008.51,4001.0,0,150008.51,0
341441.17,341441.17,0,341441.17,1
57769.49,9101.0,0,57769.49,0
185529.91,185529.91,0,185529.91,1
76710.06,164914.77,0,76710.06,0
16389.58,72125.52,0,16389.58,0
3539.1,0.0,0,3539.1,0
61486.26,512440.0,0,61486.26,0
11684.85,9053.0,0,11684.85,0
27633.32,0.0,0,27633.32,0
2727.12,7022.0,0,2727.12,0
1777758.65,1777758.65,0,1777758.65,1
2923356.25,2923356.25,0,2923356.25,1
3354215.55,3354215.55,0,3354215.55,1
402136.14,125952.0,0,402136.14,0
667733.81,667733.81,0,667733.81,1
1079.62,0.0,0,1079.62,0
9331.51,7628.0,0,9331.51,0
4623764.68,4623764.68,0,4623764.68,1
308778.37,308778.37,0,308778.37,1
32521.24,32521.24,0,32521.24,1
4726.99,49878.0,0,4726.99,0
71511.19,71511.19,0,71511.19,1
9010.38,62570.04,0,9010.38,0
360958.86,11213.0,0,360958.86,0
1086227.44,1086227.44,0,1086227.44,1
271.17,13995.01,0,271.17,0
47574.13,7997932.34,0,47574.13,0
4690769.98,4690769.98,0,4690769.98,1
134766.8,13055352.39,0,134766.8,0
79789.5,6146835.53,0,79789.5,0
3027.89,73117.0,0,3027.89,0
759701.03,759701.03,0,759701.03,1
22106.91,31730.0,0,22106.91,0
7603589.38,7603589.38,0,7603589.38,1
38589.1,9094.0,0,38589.1,0
55517.7,0.0,0,55517.7,0
171248.83,0.0,0,171248.83,0
2160.66,0.0,0,2160.66,0
517183.38,517183.38,0,517183.38,1
454010.18,41553.0,0,454010.18,0
10000000.0,10000000.0,0,10000000.0,1
58433.09,27686.0,0,58433.09,0
474313.75,107137.0,0,474313.75,0
913684.05,913684.05,0,913684.05,1
155121.58,155121.58,0,155121.58,1
216181.18,0.0,0,216181.18,0
19896.16,475.0,0,19896.16,0
202918.54,20228.0,0,202918.54,0
201247.25,201247.25,0,201247.25,1
212651.09,0.0,0,212651.09,0
28399.72,28399.72,0,28399.72,1
187952.24,3059.0,0,187952.24,0
3288377.47,3288377.47,0,3288377.47,1
9060955.18,9060955.18,0,9060955.18,1
801763.51,801763.51,0,801763.51,1
79410.6,3485891.98,0,79410.6,0
86362.56,4521085.33,0,86362.56,0
219300.76,219300.76,0,219300.76,1
23114.87,0.0,0,23114.87,0
39045.71,88625.0,0,39045.71,0
1500582.08,1500582.08,0,1500582.08,1
2595.06,0.0,0,2595.06,0
171566.41,217520.0,0,171566.41,0
195658.94,0.0,0,195658.94,0
205619.53,501971.8,0,205619.53,0
16801.46,24026.0,0,16801.46,0
17373.82,87324.57,0,17373.82,0
136072.97,4760723.28,0,136072.97,0
181864.33,103905.0,0,181864.33,0
861189.54,861189.54,0,861189.54,1
166252.88,16401.0,0,166252.88,0
7035734.21,10011.46,0,7035734.21,0
479926.98,479926.98,0,479926.98,1
321307.31,321307.31,0,321307.31,1
9301213.46,9301213.46,0,9301213.46,1
195604.41,30485.0,0,195604.41,0
46181.62,22894.0,0,46181.62,0
850002.52,850002.52,0,850002.52,1
5580.19,0.0,0,5580.19,0
34473.07,34473.07,0,34473.07,1
126848.63,126848.63,0,126848.63,1
22260.97,0.0,0,22260.97,0
3037.82,10301.0,0,3037.82,0
34630.16,0.0,0,34630.16,0
161937.74,2899019.04,0,161937.74,0
100762.66,100762.66,0,100762.66,1
88552.87,0.0,0,88552.87,0
104001.02,71103.0,0,104001.02,0
274875.84,29101813.64,0,274875.84,0
108560.06,108560.06,0,108560.06,1
931820.68,30339.0,0,931820.68,0
625899.75,0.0,0,625899.75,0
177043.19,7493890.91,0,177043.19,0
57150.44,0.0,0,57150.44,0
12196.95,139975.77,0,12196.95,0
72735.93,0.0,0,72735.93,0
639991.03,639991.03,0,639991.03,1
266596.83,0.0,0,266596.83,0
26462.54,498211.0,0,26462.54,0
2149658.47,2149658.47,0,2149658.47,1
405540.87,0.0,0,405540.87,0
495773.64,495773.64,0,495773.64,1
92921.72,21461.0,0,92921.72,0
668273.94,668273.94,0,668273.94,1
1253358.42,1253358.42,0,1253358.42,1
59348.96,0.0,0,59348.96,0
323726.61,323726.61,0,323726.61,1
230806.85,230806.85,0,230806.85,1
7576324.61,7576324.61,0,7576324.61,1
263290.33,2950090.97,0,263290.33,0
48734.24,48734.24,0,48734.24,1
15727.87,1032.0,0,15727.87,0
195298.59,5597340.71,0,195298.59,0
51578.91,0.0,0,51578.91,0
3707342.38,3707342.38,0,3707342.38,1
126061.45,126061.45,0,126061.45,1
665370.07,10860.42,0,665370.07,0
957086.77,0.0,0,957086.77,0
32779.09,263402.96,0,32779.09,0
221167.84,221167.84,0,221167.84,1
132151.87,20838.0,0,132151.87,0
332.36,332.36,0,332.36,1
178433.02,26087.0,0,178433.02,0
26747.86,400546.0,0,26747.86,0
438983.45,438983.45,0,438983.45,1
182265.68,113308.0,0,182265.68,0
7418.01,0.0,0,7418.01,0
929106.32,929106.32,0,929106.32,1
203200.69,2565053.03,0,203200.69,0
398157.05,398157.05,0,398157.05,1
299774.46,6893138.85,0,299774.46,0
212530.35,1362007.61,0,212530.35,0
191909.33,83.0,0,191909.33,0
105668.53,5007389.68,0,105668.53,0
1433.15,33571.0,0,1433.15,0
328731.19,1130.0,0,328731.19,0
972009.75,972009.75,0,972009.75,1
175189.12,1870.0,0,175189.12,0
6038051.03,6038051.03,0,6038051.03,1
4640633.37,4640633.37,0,4640633.37,1
946705.53,946705.53,0,946705.53,1
9468064.05,9468064.05,0,9468064.05,1
288738.49,47281.0,0,288738.49,0
36279.05,0.0,0,36279.05,0
29153.99,0.0,0,29153.99,0
31547.17,15030.0,0,31547.17,0
128242.72,374566.87,0,128242.72,0
15787.03,15239.0,0,15787.03,0
10000000.0,10000000.0,0,10000000.0,1
4333.66,10236.0,0,4333.66,0
5208.84,30676.0,0,5208.84,0
188240.27,0.0,0,188240.27,0
713404.6,713404.6,0,713404.6,1
1070031.6,1070031.6,0,1070031.6,1
317672.28,11364.0,0,317672.28,0
17733.57,17733.57,0,17733.57,1
422261.63,422261.63,0,422261.63,1
26124.67,0.0,0,26124.67,0
91226.5,0.0,0,91226.5,0
104660.29,7266709.4,0,104660.29,0
1136374.62,1136374.62,0,1136374.62,1
179050.99,527515.49,0,179050.99,0
1351104.53,1351104.53,0,1351104.53,1
1084144.37,1084144.37,0,1084144.37,1
475693.24,475693.24,0,475693.24,1
880975.83,880975.83,0,880975.83,1
354799.25,264577.0,0,354799.25,0
40701.57,10141755.76,0,40701.57,0
241708.11,0.0,0,241708.11,0
8728.38,31276.0,0,8728.38,0
287720.41,287720.41,0,287720.41,1
19952.89,19952.89,0,19952.89,1
18208.71,0.0,0,18208.71,0
193437.74,81424.0,0,193437.74,0
109636.79,12765383.48,0,109636.79,0
453699.35,453699.35,0,453699.35,1
1820864.64,1820864.64,0,1820864.64,1
2618.81,0.0,0,2618.81,0
244902.05,60027.0,0,244902.05,0
262020.91,0.0,0,262020.91,0
3037.67,3037.67,0,3037.67,1
536433.5,536433.5,0,536433.5,1
18459.76,0.0,0,18459.76,0
1644253.61,1644253.61,0,1644253.61,1
3731.49,39713.16,0,3731.49,0
123146.28,123146.28,0,123146.28,1
79581.24,79581.24,0,79581.24,1
48928.78,10876.0,0,48928.78,0
8334.73,9685.0,0,8334.73,0
178735.12,55725.0,0,178735.12,0
56304.96,4055.0,0,56304.96,0
18121.22,59745.0,0,18121.22,0
243833.3,12152.0,0,243833.3,0
413639.81,0.0,0,413639.81,0
104171.37,104171.37,0,104171.37,1
281192.49,12914.0,0,281192.49,0
913684.05,913684.05,0,913684.05,1
10000000.0,10585396.14,0,10000000.0,1
1139983.15,1139983.15,0,1139983.15,1
90447.23,49682.0,0,90447.23,0
1595587.46,1595587.46,0,1595587.46,1
125701.59,2758046.65,0,125701.59,0
6095.68,0.0,0,6095.68,0
1795622.71,1795622.71,0,1795622.71,1
11917.6,22638.0,0,11917.6,0
2231020.8,20176.0,0,2231020.8,0
392045.5,0.0,0,392045.5,0
25965.67,751.0,0,25965.67,0
18882.95,199688.75,0,18882.95,0
68795.95,301834.0,0,68795.95,0
1226390.31,1226390.31,0,1226390.31,1
168033.36,168033.36,0,168033.36,1
96973.01,14866099.5,0,96973.01,0
313697.44,313697.44,0,313697.44,1
263294.94,1515.0,0,263294.94,0
5463.75,20.0,0,5463.75,0
7462.71,330822.0,0,7462.71,0
44769.63,0.0,0,44769.63,0
1580.05,0.0,0,1580.05,0
2779.98,8510.0,0,2779.98,0
2365006.85,0.0,0,2365006.85,0
8006429.04,8006429.04,0,8006429.04,1
3653274.35,3653274.35,0,3653274.35,1
98086.09,98086.09,0,98086.09,1
1613281.82,1613281.82,0,1613281.82,1
6322399.97,6322399.97,0,6322399.97,1
72955.08,72955.08,0,72955.08,1
400276.72,400276.72,0,400276.72,1
58737.53,58737.53,0,58737.53,1
781988.85,781988.85,0,781988.85,1
253648.68,253648.68,0,253648.68,1
186235.67,31679.0,0,186235.67,0
63092.9,10760.0,0,63092.9,0
102750.82,11750.0,0,102750.82,0
9345.0,0.0,0,9345.0,0
808471.07,364979.57,0,808471.07,0
59749.28,59749.28,0,59749.28,1
152312.26,13173682.12,0,152312.26,0
429257.45,429257.45,0,429257.45,1
1619313.55,1619313.55,0,1619313.55,1
705529.08,705529.08,0,705529.08,1
40651.96,40651.96,0,40651.96,1
273913.06,0.0,0,273913.06,0
975.51,132948.03,0,975.51,0
39325.55,876750.93,0,39325.55,0
398045.73,398045.73,0,398045.73,1
2406332.79,2406332.79,0,2406332.79,1
247877.03,247877.03,0,247877.03,1
68039.52,7671258.79,0,68039.52,0
458603.07,458603.07,0,458603.07,1
40631.81,1116370.51,0,40631.81,0
29955.14,3631378.55,0,29955.14,0
181879.72,0.0,0,181879.72,0
20482.11,100443.0,0,20482.11,0
73625.98,70295.22,0,73625.98,0
37831.15,37831.15,0,37831.15,1
6411.26,0.0,0,6411.26,0
52694.38,108.0,0,52694.38,0
67921.66,67921.66,0,67921.66,1
67692.41,67692.41,0,67692.41,1
426.47,0.0,0,426.47,0
167606.49,167606.49,0,167606.49,1
46168.12,314170.0,0,46168.12,0
815.41,232110.85,0,815.41,0
8993.89,20714.0,0,8993.89,0
16578.42,0.0,0,16578.42,0
144236.65,1429.0,0,144236.65,0
745156.83,745156.83,0,745156.83,1
122219.59,30909.0,0,122219.59,0
176626.77,176626.77,0,176626.77,1
154477.19,0.0,0,154477.19,0
288264.29,4564.08,0,288264.29,0
145920.32,14207.0,0,145920.32,0
315712.36,315712.36,0,315712.36,1
156220.74,156220.74,0,156220.74,1
4327.02,458721.27,0,4327.02,0
5469910.99,5469910.99,0,5469910.99,1
2755588.11,2755588.11,0,2755588.11,1
243459.96,243459.96,0,243459.96,1
404626.87,0.0,0,404626.87,0
135977.23,135977.23,0,135977.23,1
367980.99,367980.99,0,367980.99,1
2480321.85,2480321.85,0,2480321.85,1
40913.76,6181.0,0,40913.76,0
164918.98,44329.0,0,164918.98,0
1407.28,11775.0,0,1407.28,0
11736.0,25425.0,0,11736.0,0
63620.56,6396.0,0,63620.56,0
690267.24,11255.0,0,690267.24,0
87438.83,87438.83,0,87438.83,1
8406.63,818964.0,0,8406.63,0
1276300.86,1276300.86,0,1276300.86,1
306419.73,306419.73,0,306419.73,1
114860.35,3337960.14,0,114860.35,0
10000000.0,10000000.0,0,10000000.0,1
43382.22,102243.2,0,43382.22,0
20044.66,370.0,0,20044.66,0
232315.43,232315.43,0,232315.43,1
109430.35,258378.0,0,109430.35,0
30702.53,0.0,0,30702.53,0
9039.81,0.0,0,9039.81,0
143921.76,0.0,0,143921.76,0
24999.0,0.0,0,24999.0,0
98268.5,4596367.12,0,98268.5,0
432544.68,432544.68,0,432544.68,1
119465.42,2879336.87,0,119465.42,0
165062.63,6206.89,0,165062.63,0
13357.24,33459.0,0,13357.24,0
1928.0,777.0,0,1928.0,0
140738.95,645.0,0,140738.95,0
69485.76,248557.0,0,69485.76,0
126477.84,19818.0,0,126477.84,0
63575.98,19381.0,0,63575.98,0
69853.41,665.0,0,69853.41,0
14839.86,224587.0,0,14839.86,0
960196.16,960196.16,0,960196.16,1
255839.8,0.0,0,255839.8,0
13300.67,50746.0,0,13300.67,0
700523.69,700523.69,0,700523.69,1
42729.88,265339.0,0,42729.88,0
15236.36,20322.63,0,15236.36,0
12243.29,0.0,0,12243.29,0
1912961.16,1912961.16,0,1912961.16,1
216288.49,111.0,0,216288.49,0
1168274.14,1168274.14,0,1168274.14,1
54419.12,6549652.71,0,54419.12,0
617882.66,617882.66,0,617882.66,1
265836.1,265836.1,0,265836.1,1
6307.61,10243.0,0,6307.61,0
179661.31,5040770.08,0,179661.31,0
25841.89,0.0,0,25841.89,0
8371.2,8500.4,0,8371.2,0
2921.63,19947.0,0,2921.63,0
55239.93,3355751.7,0,55239.93,0
196079.81,9017.0,0,196079.81,0
162192.78,162192.78,0,162192.78,1
61996.67,6202287.72,0,61996.67,0
5192.33,0.0,0,5192.33,0
77250.43,1357253.07,0,77250.43,0
4434.04,25353.0,0,4434.04,0
10000000.0,10000000.0,0,10000000.0,1
904338.88,904338.88,0,904338.88,1
2542664.27,2542664.27,0,2542664.27,1
470325.08,470325.08,0,470325.08,1
8209.79,0.0,0,8209.79,0
376379.86,0.0,0,376379.86,0
2344.97,73528.96,0,2344.97,0
225839.01,105.0,0,225839.01,0
5998.0,587171.39,0,5998.0,0
156613.3,80.0,0,156613.3,0
120843.94,120843.94,0,120843.94,1
643052.88,643052.88,0,643052.88,1
248113.52,312974.8,0,248113.52,0
16713.01,53992.0,0,16713.01,0
298615.01,1630899.46,0,298615.01,0
40547.48,91544.0,0,40547.48,0
1057053.6,1057053.6,0,1057053.6,1
595558.89,595558.89,0,595558.89,1
312223.4,5729.0,0,312223.4,0
261317.96,20779.0,0,261317.96,0
64202.85,64202.85,0,64202.85,1
7105.96,81246.63,0,7105.96,0
4084.01,289972.34,0,4084.01,0
94583.35,0.0,0,94583.35,0
111870.89,8458735.41,0,111870.89,0
430207.22,430207.22,0,430207.22,1
14654.74,0.0,0,14654.74,0
71554.74,71554.74,0,71554.74,1
45758.71,45758.71,0,45758.71,1
6715.62,0.0,0,6715.62,0
449199.47,449199.47,0,449199.47,1
10328.01,308523.88,0,10328.01,0
260020.56,0.0,0,260020.56,0
353922.69,49712.0,0,353922.69,0
390011.19,14403.0,0,390011.19,0
60370.69,102554.0,0,60370.69,0
3683218.43,359083.0,0,3683218.43,0
40716.98,2524268.45,0,40716.98,0
489944.93,489944.93,0,489944.93,1
194786.41,0.0,0,194786.41,0
4005784.06,0.0,0,4005784.06,0
1077146.94,1077146.94,0,1077146.94,1
20595.02,106588.0,0,20595.02,0
477664.39,52095.0,0,477664.39,0
4534.0,11200.0,0,4534.0,0
1669143.57,1669143.57,0,1669143.57,1
8104557.88,8104557.88,0,8104557.88,1
239023.03,15464.0,0,239023.03,0
568292.72,568292.72,0,568292.72,1
47004.74,6622528.86,0,47004.74,0
55749.25,218444.44,0,55749.25,0
6377401.2,6377401.2,0,6377401.2,1
1387048.31,1387048.31,0,1387048.31,1
1048388.34,1048388.34,0,1048388.34,1
199104.23,0.0,0,199104.23,0
47061.52,47061.52,0,47061.52,1
496420.67,496420.67,0,496420.67,1
101394.62,0.0,0,101394.62,0
7515624.63,7515624.63,0,7515624.63,1
10473.24,0.0,0,10473.24,0
1177100.83,1177100.83,0,1177100.83,1
16391.65,1733800.76,0,16391.65,0
81301.72,0.0,0,81301.72,0
27483.79,27483.79,0,27483.79,1
177248.65,0.0,0,177248.65,0
61615.74,581084.7,0,61615.74,0
237056.08,12978829.04,0,237056.08,0
22497.03,57588.52,0,22497.03,0
454384.26,106280.0,0,454384.26,0
3588174.94,3588174.94,0,3588174.94,1
4135944.29,4135944.29,0,4135944.29,1
5107.4,39726.0,0,5107.4,0
10842.09,30511.0,0,10842.09,0
422953.54,34848.0,0,422953.54,0
236915.8,2837.0,0,236915.8,0
20909.14,21549.0,0,20909.14,0
3973479.44,3973479.44,0,3973479.44,1
29611.08,29611.08,0,29611.08,1
422664.64,0.0,0,422664.64,0
35899.61,817.0,0,35899.61,0
116481.87,10115.0,0,116481.87,0
73053.41,73053.41,0,73053.41,1
1773151.32,1773151.32,0,1773151.32,1
1229758.34,6049.0,0,1229758.34,0
9963.92,87095.69,0,9963.92,0
10000000.0,10000000.0,0,10000000.0,1
34440.3,20519.0,0,34440.3,0
13348.58,21320.0,0,13348.58,0
7099.65,60915.17,0,7099.65,0
59940.65,984122.78,0,59940.65,0
381011.21,7155.0,0,381011.21,0
155093.08,2829.15,0,155093.08,0
10000000.0,10000000.0,0,10000000.0,1
